@RELATION donnees
@ATTRIBUTE text STRING
@ATTRIBUTE eval {-1,1}
@data
"sorry art film wow gun people brain not scene design photographic direction excellent story too painful watch absence sound track brutal shot too long people just especially dialogue people really hard time just film performance excellent much dark sombre uninspired stuff thing red dress scene ripoff fan either hour well",-1
"when little parent theater interior many parent never interior just recently rest life pretentious ponderous painfully boring piece wine cheese tripe woody favorite director interior far bad piece crap career unmistakable style dark angular muted insight family wrought psychological damage divorce estrangement career non love halitosis film intentionally comic relief music shadowy pathos film style good expressionist nature improvisational method dialogue illicit more pronounced depth meaning truth woody film painfully slow dull simply connection sympathy character instead contempt parade shuffling nicotine martyr perpetual quest identity backdrop cosmopolitan affluence brie intelligentsia story fart room affected platitude language cigarette desperate direction understanding just point just slap all never resolution interminable introspective babble nothing more psychological drama extreme audience ability woody character left painfully self indulgent spiritually draining insistence message prose distorted film technique past point relevance highly little too happy death let just pretend film never",-1
"this film mediocre good funny bag hammer bitchy demeanor law order failed attempt comedy charlie sheen unscathed horrible anti comedy positive thing mess charlie marriage hopefully effort good result",-1
"the film bad way story weak especially country n't most people walker really care subject just not believable year set think true too applause low quick end most n't q n't Schrader really film ahead time many scene short never just n't finish scene figure really n't woody carter private life boyfriend artistic male bondage torture prison thinking very poor attempt dark private subculture life woody character car n't n't sense really good thing film woody character car flawlessly really great sense walker say year ago great most likely never lily boring n't painful true fan",-1
"this film giant pant load Schrader utterly bad screenplay as comatose actually sleepwalking process bad woody ordinarily properly cast walker homosexual man social companion bored wife elite n't more dimensional cut magazine camera popsicle southern accent rack version decrescendo end line as heat humidity south still ounce energy monotonous not bad accent boyfriend attempt kind mid east accent clumsy barely bad line incapable rolling r spite fact real life german language Italian kind good reason cast n't story screenplay camera work performance bad beginning end tolerable moment film actress lily dignity tact fact excellent spite really bad film no good enough endless series flaw actress not worth time",-1
"this line most boring year not woody murder point interest not nothing interest not bad script just plain awful just utter amazement earth producer very clever boring well good actor actress people blockbuster probably woody good rent boy horrible time rent people actually watch meaning",-1
"a worn plot man rap woman murder case equally worn plot outsider eventually outstanding case film rise origin scene scene change intensity character inexplicable behavior homosexuality theme completely unnecessary hand completely viewer gay character not automatically more compelling picture regrettably dreadful pick good good definitely",-1
"i drive duck bad genus comedy horror teenage angst hot rod mother car maybe second viewing accurate reflection time",-1
"ghost hollow typical teens turmoil not horror science fiction plot group teen hot rod club old haunted house grace film ghost creature suit work monster",-1
"the bad story humor nothing action sequence more series haphazard up advertisement heavily matrix hustle very poorly not lot expectation experience wonder guy thing anorexic bikini reason not rating time think bad wrong",-1
"shame raj film intelligence year steady fare tripe piece cinematic crap not worth tube standard tooth whole flick start schizophrenic direction plot line never quite scene just ashamed country film maker away crore stupidity shame actor work piece work khan completely choice film enough skin puberty stricken up dim wit anil pubescent fascination English crony commendable acting bizarre cinematography minute enough blood vessel n't brain cell energy money rent instead beautiful piece independent film intelligent poignant wonderful story tale intelligent actor not Indian cinema",-1
"if product big production house Indian film industry raj afraid very long ahead right standard wrong length enormous star cast anil still much harder film film almost department cinematography few good dialogue render huge expectation scene car river mountain very cheap graphics cartoon film indicator director vision actor asset simply anil gimmick good English fall flat most time surely short big waste Barabar well enjoyable kind script most unwanted flashback sequence love story faulty script weak point music just filler song song very well suddenly drastically song good lot opportunity continuity intelligence maker just road hilly area foreign location probably scene dicky car still climax too long silly unnecessary stunt hero storm bullet not god still technical height more word pathetic downgrade sincere request senior actor dear anil possible preview copy artist stature certain responsibility fan viewer people still as screen scene respectively kind not daylight as reputation all actor production house",-1
"i expectation nice star cast return duo well hesitant watch man story franchise very realistic saw credit beginning nice nice way well very scene pi major drawback action sequence friend gut fight thug thug machine gun bad action sequence thing far too predictable story early well thing worth sexy really hot rating guy please n't real gangster well terrible fight scene",-1
"the action sunny superpower matrix spiderman superman hilarious typical anil comedy positive film story writer old son unreal anil long least most mistake director director regret money not anybody least zero",-1
